#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-Dy-RX100%-1hr.csc.log	1s-5m-10f-Dy-RX100%-1hr.csc.log
1	0.000	0.985
2	55.555	0.947
3	68.750	0.922
4	72.000	0.889
5	73.846	0.873
6	75.308	0.850
7	78.125	0.836
8	77.876	0.822
9	77.519	0.811
10	77.931	0.802
11	76.397	0.794
12	76.271	0.785
13	75.773	0.775
14	75.714	0.768
15	76.000	0.763
16	75.518	0.763
17	75.193	0.759
18	75.457	0.754
19	74.740	0.748
20	74.754	0.742
21	74.454	0.739
22	74.480	0.739
23	73.728	0.737
24	74.054	0.736
25	74.025	0.733
26	74.129	0.729
27	74.457	0.725
28	74.537	0.723
29	74.832	0.721
30	74.838	0.720
31	74.481	0.717
32	74.446	0.718
33	74.124	0.713
34	74.291	0.711
35	74.128	0.709
36	73.975	0.708
37	73.875	0.704
38	73.737	0.702
39	73.684	0.700
40	73.440	0.699
41	73.166	0.696
42	73.100	0.693
43	73.105	0.692
44	73.043	0.690
45	73.049	0.689
46	72.853	0.687
47	72.727	0.684
48	72.679	0.682
49	72.691	0.682
50	72.611	0.682
51	72.908	0.680
52	72.738	0.678
53	72.869	0.678
54	72.705	0.675
55	72.601	0.673
56	72.562	0.670
57	72.656	0.669
58	73.026	0.667
59	72.844	0.665
60	72.910	0.664
