#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-A-RX100%-1hr.csc.log	1s-5m-15f-A-RX100%-1hr.csc.log
1	20.000	0.981
2	26.666	0.963
3	44.000	0.955
4	40.000	0.944
5	35.555	0.938
6	32.727	0.936
7	30.769	0.934
8	28.000	0.932
9	24.705	0.929
10	22.105	0.930
11	24.074	0.930
12	23.728	0.930
13	26.717	0.929
14	26.056	0.928
15	29.032	0.925
16	30.952	0.923
17	31.843	0.923
18	32.631	0.920
19	34.000	0.920
20	35.714	0.919
21	36.486	0.918
22	36.324	0.917
23	35.627	0.916
24	35.249	0.915
25	34.926	0.914
26	34.982	0.913
27	35.593	0.913
28	34.754	0.912
29	33.650	0.911
30	32.923	0.913
31	32.840	0.912
32	33.522	0.912
33	32.872	0.913
34	32.975	0.913
35	32.987	0.913
36	32.658	0.912
37	33.169	0.911
38	33.492	0.910
39	33.953	0.909
40	34.090	0.910
41	34.811	0.909
42	35.560	0.909
43	35.639	0.909
44	35.040	0.908
45	34.800	0.907
46	34.892	0.907
47	34.732	0.906
48	34.644	0.906
49	34.128	0.905
50	33.513	0.905
51	33.391	0.904
52	33.505	0.904
53	33.389	0.903
54	33.167	0.902
55	32.899	0.902
56	32.747	0.901
57	32.967	0.901
58	33.281	0.900
59	33.484	0.900
60	33.731	0.900
