#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-De-RX100%-1hr.csc.log	1s-5m-15f-De-RX100%-1hr.csc.log
1	20.000	0.981
2	20.000	0.961
3	36.000	0.951
4	31.428	0.942
5	28.888	0.933
6	27.272	0.924
7	24.615	0.917
8	22.666	0.913
9	20.000	0.911
10	18.947	0.908
11	18.867	0.907
12	20.833	0.903
13	19.847	0.903
14	19.580	0.908
15	21.290	0.907
16	23.636	0.907
17	26.553	0.904
18	29.473	0.900
19	31.000	0.897
20	32.380	0.893
21	33.783	0.889
22	34.042	0.886
23	32.653	0.884
24	31.372	0.881
25	30.827	0.879
26	30.935	0.876
27	31.271	0.875
28	30.693	0.873
29	30.158	0.871
30	29.230	0.870
31	28.571	0.868
32	28.571	0.865
33	28.925	0.864
34	28.533	0.862
35	28.571	0.864
36	29.040	0.862
37	29.656	0.860
38	30.071	0.858
39	30.465	0.856
40	30.681	0.854
41	31.346	0.852
42	31.465	0.850
43	31.223	0.850
44	31.147	0.847
45	30.661	0.846
46	30.919	0.844
47	31.034	0.843
48	31.086	0.843
49	31.192	0.841
50	30.810	0.840
51	30.388	0.839
52	30.449	0.838
53	30.390	0.837
54	30.217	0.835
55	30.114	0.833
56	30.016	0.833
57	30.078	0.831
58	30.246	0.831
59	30.606	0.830
60	30.746	0.828
