#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-A-RX100%-1hr.csc.log	1s-5m-15f-A-RX100%-1hr.csc.log
1	0.000	0.996
2	75.000	0.941
3	79.069	0.927
4	79.687	0.903
5	77.647	0.892
6	79.047	0.886
7	78.571	0.877
8	76.666	0.871
9	76.470	0.867
10	77.368	0.867
11	78.199	0.868
12	77.586	0.870
13	78.174	0.868
14	77.289	0.865
15	78.305	0.864
16	78.730	0.862
17	78.338	0.860
18	78.551	0.858
19	79.419	0.857
20	79.500	0.855
21	79.334	0.853
22	79.545	0.852
23	79.004	0.852
24	78.512	0.855
25	78.415	0.854
26	78.095	0.852
27	78.284	0.850
28	78.031	0.847
29	77.928	0.847
30	77.868	0.845
31	77.812	0.845
32	77.641	0.845
33	77.448	0.844
34	77.521	0.842
35	77.342	0.841
36	77.414	0.840
37	77.278	0.840
38	77.435	0.837
39	77.722	0.836
40	77.926	0.836
41	78.054	0.835
42	78.306	0.833
43	78.255	0.833
44	78.097	0.833
45	77.945	0.831
46	77.989	0.831
47	77.892	0.829
48	77.912	0.829
49	77.799	0.828
50	77.669	0.827
51	77.619	0.828
52	77.518	0.827
53	77.472	0.827
54	77.538	0.826
55	77.356	0.826
56	77.182	0.826
57	77.060	0.825
58	76.980	0.824
59	77.011	0.824
60	76.854	0.823
