#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-De-RX100%-1hr.csc.log	1s-5m-15f-De-RX100%-1hr.csc.log
1	16.000	0.913
2	29.090	0.872
3	41.176	0.854
4	40.000	0.837
5	35.172	0.823
6	32.571	0.808
7	30.731	0.793
8	27.659	0.784
9	24.905	0.776
10	23.389	0.768
11	21.951	0.755
12	20.775	0.789
13	19.642	0.788
14	19.858	0.781
15	20.219	0.772
16	20.576	0.766
17	22.437	0.760
18	24.909	0.760
19	26.724	0.752
20	28.360	0.745
21	29.531	0.738
22	29.525	0.730
23	28.510	0.723
24	27.408	0.721
25	26.562	0.716
26	25.967	0.712
27	25.841	0.706
28	25.115	0.704
29	24.469	0.701
30	23.675	0.702
31	23.382	0.699
32	23.007	0.695
33	22.896	0.694
34	22.697	0.693
35	22.714	0.691
36	22.780	0.687
37	22.794	0.684
38	23.429	0.680
39	23.966	0.677
40	24.354	0.673
41	24.842	0.671
42	25.095	0.668
43	25.018	0.666
44	24.579	0.664
45	24.339	0.662
46	23.829	0.659
47	23.392	0.659
48	23.159	0.656
49	22.754	0.655
50	22.315	0.653
51	22.117	0.651
52	21.975	0.649
53	21.718	0.647
54	21.602	0.647
55	21.690	0.650
56	21.751	0.648
57	21.766	0.646
58	22.056	0.647
59	22.391	0.644
60	22.673	0.643
