#time(min)   pdr
1 0.00
2 77.27
3 57.14
4 88.88
5 61.11
6 88.88
7 78.94
8 85.00
9 65.21
10 72.22
11 90.00
12 60.00
13 94.11
14 71.42
15 88.88
16 71.42
17 71.42
18 72.22
19 93.75
20 47.82
21 78.94
22 57.14
23 84.21
24 61.90
25 88.23
26 63.15
27 100.00
28 37.50
29 87.50
30 47.61
31 88.88
32 70.00
33 71.42
34 68.42
35 55.00
36 88.23
37 75.00
38 61.90
39 88.23
40 68.18
41 71.42
42 61.90
43 57.89
44 61.11
45 66.66
46 65.00
47 89.47
48 76.19
49 70.00
50 72.22
51 95.00
52 47.61
53 113.33
54 63.63
55 75.00
56 66.66
57 100.00
58 45.45
59 88.23
60 60.00
