#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-De-RX100%-1hr.csc.log	1s-5m-10f-De-RX100%-1hr.csc.log
1	33.333	0.984
2	48.000	0.917
3	63.043	0.882
4	63.076	0.856
5	65.853	0.840
6	64.356	0.827
7	64.754	0.814
8	67.605	0.800
9	68.098	0.786
10	69.444	0.775
11	68.656	0.762
12	69.683	0.755
13	68.487	0.750
14	69.615	0.742
15	69.424	0.735
16	71.000	0.725
17	71.111	0.719
18	71.005	0.710
19	70.422	0.705
20	70.666	0.702
21	70.175	0.697
22	70.289	0.698
23	70.574	0.693
24	70.198	0.696
25	70.700	0.696
26	71.196	0.690
27	71.119	0.691
28	70.998	0.683
29	70.909	0.682
30	71.052	0.681
31	70.847	0.679
32	70.888	0.680
33	71.065	0.677
34	70.743	0.675
35	70.914	0.675
36	70.930	0.671
37	70.762	0.669
38	70.936	0.667
39	70.548	0.663
40	70.457	0.663
41	70.550	0.663
42	70.250	0.662
43	70.473	0.659
44	70.532	0.658
45	70.220	0.656
46	70.215	0.655
47	70.255	0.653
48	70.314	0.651
49	70.031	0.650
50	70.000	0.648
51	70.143	0.648
52	70.240	0.645
53	70.206	0.643
54	70.134	0.642
55	70.198	0.639
56	70.222	0.636
57	70.164	0.635
58	70.340	0.633
59	70.220	0.632
60	70.043	0.632
