#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	33.333	0.984
2	48.000	0.917
3	63.043	0.883
4	64.062	0.859
5	69.512	0.842
6	68.000	0.831
7	70.588	0.820
8	71.223	0.811
9	71.604	0.804
10	72.777	0.798
11	72.000	0.799
12	73.636	0.795
13	73.417	0.795
14	73.643	0.789
15	74.275	0.787
16	74.410	0.782
17	74.213	0.779
18	74.702	0.780
19	75.000	0.779
20	74.400	0.775
21	73.604	0.778
22	73.493	0.781
23	73.041	0.781
24	73.186	0.780
25	73.305	0.778
26	73.523	0.774
27	73.280	0.774
28	73.358	0.771
29	72.859	0.770
30	72.631	0.771
31	72.108	0.770
32	72.368	0.769
33	72.178	0.770
34	72.376	0.767
35	72.155	0.768
36	71.970	0.768
37	72.056	0.766
38	72.038	0.763
39	72.139	0.763
40	72.156	0.763
41	72.137	0.763
42	71.995	0.762
43	71.912	0.762
44	71.682	0.761
45	71.461	0.760
46	71.315	0.761
47	71.143	0.760
48	71.366	0.759
49	71.549	0.758
50	71.666	0.757
51	71.632	0.756
52	71.928	0.755
53	71.850	0.754
54	72.061	0.753
55	71.928	0.752
56	71.918	0.751
57	72.080	0.751
58	72.182	0.750
59	71.982	0.750
60	72.034	0.749
