1 0 54.7594468047 52.6683524816
2 0 54.7579518758 52.6736074199
3 0 28.6002103857 63.4351299433
4 0 36.7123099621 29.6294632762
5 0 42.3726087701 74.2626349519
6 0 52.5507889402 23.8841411927
7 0 52.5402477173 23.8972806218
8 0 36.7483473125 29.5561442072
9 0 3.3490550731 32.4542958993
10 0 36.7395634695 29.5280929831
11 0 36.7439232767 29.5331752677
12 0 54.7583010885 52.6785539348
1 0.2 54.7592620333 52.6689061274
2 0.2 54.7579495719 52.6733323048
3 0.2 28.5968847721 63.4363694076
4 0.2 36.7123056601 29.6291882084
5 0.2 42.3725853088 74.2626356423
6 0.2 52.550621263 23.8841444944
7 0.2 52.5402237635 23.8972810939
8 0.2 36.7482995126 29.556145816
9 0.2 3.3477170561 32.4519012399
10 0.2 36.7396590708 29.5280897649
11 0.2 36.7438711782 29.5329018087
12 0.2 54.7583484331 52.6785530806
1 0.4 54.7592383606 52.6689065549
2 0.4 54.7579258997 52.6733327316
3 0.4 28.5968612027 63.4363703881
4 0.4 36.7123295592 29.6291874034
5 0.4 42.3729456597 74.2615241793
6 0.4 52.5497225215 23.8775587103
7 0.4 52.5403649703 23.8970031668
8 0.4 36.7482517126 29.5561474247
9 0.4 3.3475018631 32.4510884493
10 0.4 36.7397068712 29.5280881562
11 0.4 36.7438233778 29.5329034174
12 0.4 54.758417146 52.6782766851
1 0.6 54.759191016 52.6689074084
2 0.6 54.7579495719 52.6733323048
3 0.6 28.5968376332 63.4363713686
4 0.6 36.7123534587 29.6291865984
5 0.6 42.3733529342 74.2604113355
6 0.6 52.5491275076 23.8753692667
7 0.6 52.5411922978 23.882679325
8 0.6 36.7481322127 29.5561514466
9 0.6 3.3471514652 32.4505596529
10 0.6 36.7397350701 29.528362419
11 0.6 36.7438190798 29.5326283503
12 0.6 54.7584621867 52.6780007158
1 0.8 54.7591223026 52.6691838045
2 0.8 54.7579732442 52.673331878
3 0.8 28.5966437658 63.4361041509
4 0.8 36.7123295592 29.6291874034
5 0.8 42.3733998574 74.2604099547
6 0.8 52.5488829384 23.8748237928
7 0.8 52.5415189012 23.8790960057
8 0.8 36.7480844132 29.5561530553
9 0.8 3.347230857 32.4500037229
10 0.8 36.7397828705 29.5283608102
11 0.8 36.7438711782 29.5329018087
12 0.8 54.7585072274 52.6777247472
1 1 54.759074958 52.6691846588
2 1 54.7579709403 52.6730567629
3 1 28.5965966268 63.436106112
4 1 36.7123056601 29.6291882084
5 1 42.3734233192 74.2604092643
6 1 52.5488804236 23.8745486972
7 1 52.5415617774 23.8785448708
8 1 36.7480366132 29.5561546641
9 1 3.3471831025 32.4500067376
10 1 36.7398306709 29.5283592008
11 1 36.7438472782 29.5329026131
12 1 54.7586469572 52.67744707
1 1.2 54.759027613 52.6691855124
2 1.2 54.757899923 52.673058044
3 1.2 28.5965730574 63.4361070925
4 1.2 36.7120451582 29.6278209216
5 1.2 42.3735134071 74.2601313987
6 1.2 52.5488564693 23.8745491693
7 1.2 52.5415378236 23.8785453429
8 1.2 36.7479649132 29.5561570772
9 1.2 3.347230857 32.4500037229
10 1.2 36.7398784713 29.5283575921
11 1.2 36.7437994778 29.5329042225
12 1.2 54.7591019717 52.6752376111
1 1.4 54.7590039407 52.6691859398
2 1.4 54.7579709403 52.6730567629
