2	11	60	18.33
3	13	60	21.66
4	7	60	11.66
5	6	60	10.00
6	4	60	6.66
7	11	60	18.33
8	18	60	30.00
9	14	60	23.33
10	15	60	25.00
11	6	60	10.00
12	8	60	13.33
13	17	60	28.33
14	25	60	41.66
15	19	60	31.66
16	9	60	15.00
17	17	60	28.33
18	8	60	13.33
19	16	60	26.66
20	8	60	13.33
21	5	60	8.33
22	9	60	15.00
23	6	60	10.00
24	5	60	8.33
25	7	60	11.66
26	8	60	13.33
27	6	60	10.00
28	10	60	16.66
29	10	60	16.66
30	14	60	23.33
31	5	60	8.33
32	10	60	16.66
33	11	60	18.33
34	8	60	13.33
35	9	59	15.25
36	8	60	13.33
37	8	60	13.33
38	4	60	6.66
39	13	60	21.66
40	7	60	11.66
41	8	60	13.33
42	8	60	13.33
43	6	60	10.00
44	21	60	35.00
45	13	60	21.66
46	15	60	25.00
47	3	60	5.00
48	11	60	18.33
49	7	60	11.66
50	13	60	21.66
51	8	60	13.33
52	59	60	98.33
53	60	60	100.00
54	61	60	101.66
55	60	60	100.00
56	61	60	101.66
57	61	60	101.66
58	60	60	100.00
59	60	60	100.00
60	60	60	100.00
61	60	60	100.00
62	60	60	100.00
63	61	60	101.66
64	60	60	100.00
65	60	60	100.00
66	59	60	98.33
67	61	60	101.66
68	60	60	100.00
69	60	60	100.00
70	60	60	100.00
71	61	60	101.66
72	60	60	100.00
73	60	60	100.00
74	60	60	100.00
75	60	60	100.00
76	61	60	101.66
77	59	60	98.33
78	60	60	100.00
79	60	60	100.00
80	61	60	101.66
81	60	60	100.00
82	61	60	101.66
83	61	60	101.66
84	60	60	100.00
85	61	60	101.66
86	61	60	101.66
87	59	60	98.33
88	60	60	100.00
89	61	60	101.66
90	58	60	96.66
91	60	60	100.00
92	61	60	101.66
93	61	60	101.66
94	61	60	101.66
95	60	60	100.00
96	61	60	101.66
97	59	60	98.33
98	61	60	101.66
99	60	60	100.00
100	61	60	101.66
101	61	60	101.66
