1	150.00
2	140.00
3	116.66
4	112.00
5	112.50
6	107.50
7	108.51
8	107.27
9	104.76
10	104.28
11	105.19
12	102.35
13	105.49
14	103.00
15	103.73
16	103.47
17	102.43
18	100.76
19	104.44
20	102.06
21	102.63
22	101.87
23	102.39
24	101.71
25	102.19
26	102.10
27	101.51
28	101.95
29	101.40
30	98.63
31	95.17
32	92.34
33	89.34
34	87.20
35	85.15
36	82.26
37	80.44
38	77.85
39	75.95
40	73.89
41	71.94
42	70.32
43	68.33
44	67.07
45	65.86
46	64.11
47	63.00
48	61.40
49	59.72
50	58.91
51	57.36
52	56.62
53	55.32
54	54.50
55	53.43
56	52.53
57	51.41
58	50.69
59	49.77
60	48.98
