1	150.00
2	140.00
3	116.66
4	116.00
5	109.09
6	112.50
7	104.08
8	105.45
9	106.45
10	108.57
11	101.25
12	104.70
13	103.22
14	103.00
15	103.73
16	102.60
17	103.27
18	100.76
19	104.44
20	102.06
21	102.63
22	102.50
23	101.78
24	101.14
25	102.19
26	101.05
27	102.55
28	101.95
29	101.40
30	98.63
31	95.59
32	92.34
33	89.66
34	86.80
35	83.78
36	81.88
37	79.48
38	77.50
39	75.60
40	73.89
41	71.94
42	70.32
43	68.55
44	67.07
45	67.16
46	66.17
47	64.57
48	63.94
49	63.08
50	62.16
51	61.33
52	59.74
53	58.67
54	57.50
55	56.37
56	55.42
57	54.50
58	53.48
59	52.27
60	51.68
