#Node	Received	Sent	PDR(%)
24	19	20	95.00
8	19	19	100.00
2	20	81	24.69
11	19	19	100.00
6	19	19	100.00
18	20	20	100.00
4	20	20	100.00
27	18	20	90.00
7	20	20	100.00
14	20	20	100.00
15	20	19	105.26
25	19	19	100.00
20	20	19	105.26
16	20	20	100.00
10	20	19	105.26
12	20	20	100.00
22	20	20	100.00
26	19	19	100.00
9	19	19	100.00
5	20	19	105.26
19	19	19	100.00
17	19	19	100.00
13	20	20	100.00
3	19	19	100.00
21	19	19	100.00
23	20	20	100.00
